[-1.30902, 0.809017, 0.5, 1], [-1.4789, 0.914008, 0.564888, 1.12978]
[-0.5, 1.30902, 0.809017, 1], [-0.564888, 1.4789, 0.914008, 1.12978]
[0, 1.61803, 0, 1], [0, 1.82802, 0, 1.12978]
[-0.5, 1.30902, -0.809017, 1], [-0.564888, 1.4789, -0.914008, 1.12978]
[-1.30902, 0.809017, -0.5, 1], [-1.4789, 0.914008, -0.564888, 1.12978]
[0.5, 1.30902, 0.809017, 1], [0.564888, 1.4789, 0.914008, 1.12978]
[-0.809017, 0.5, 1.30902, 1], [-0.914008, 0.564888, 1.4789, 1.12978]
[-1.61803, 0, 0, 1], [-1.82802, 0, 0, 1.12978]
[-0.809017, 0.5, -1.30902, 1], [-0.914008, 0.564888, -1.4789, 1.12978]
[0.5, 1.30902, -0.809017, 1], [0.564888, 1.4789, -0.914008, 1.12978]
[1.30902, -0.809017, 0.5, 1], [1.4789, -0.914008, 0.564888, 1.12978]
[0.5, -1.30902, 0.809017, 1], [0.564888, -1.4789, 0.914008, 1.12978]
[0, -1.61803, 0, 1], [0, -1.82802, 0, 1.12978]
[0.5, -1.30902, -0.809017, 1], [0.564888, -1.4789, -0.914008, 1.12978]
[1.30902, -0.809017, -0.5, 1], [1.4789, -0.914008, -0.564888, 1.12978]
[0.809017, -0.5, 1.30902, 1], [0.914008, -0.564888, 1.4789, 1.12978]
[-0.5, -1.30902, 0.809017, 1], [-0.564888, -1.4789, 0.914008, 1.12978]
[-0.5, -1.30902, -0.809017, 1], [-0.564888, -1.4789, -0.914008, 1.12978]
[0.809017, -0.5, -1.30902, 1], [0.914008, -0.564888, -1.4789, 1.12978]
[1.61803, 0, 0, 1], [1.82802, 0, 0, 1.12978]
